ano,id_municipio,rede,etapa,ideb
2023,3304003,estadual,EF anos finais,NA
2023,3519600,municipal,EF anos finais,NA
2023,3526209,municipal,EF anos finais,NA
2023,3538105,estadual,EF anos finais,NA
2023,3544301,estadual,EF anos finais,NA
2023,4113601,estadual,EF anos finais,NA
2023,4200705,municipal,EF anos finais,NA
2023,5101407,municipal,EF anos finais,NA
2023,5106208,municipal,EF anos finais,NA
2023,5214903,municipal,EF anos finais,NA
2023,1100023,federal,EM,NA
2023,2403509,estadual,EM,NA
2023,2408003,federal,EM,NA
2023,2409332,estadual,EM,NA
2023,2515807,estadual,EM,NA
2023,2916401,federal,EM,NA
2023,3154408,estadual,EM,NA
2023,3200904,municipal,EM,NA
2023,3203908,federal,EM,NA
2023,3507902,municipal,EM,NA
2023,3509700,federal,EM,NA
2023,3538709,municipal,EM,NA
2023,4110003,estadual,EM,NA
2023,4202057,estadual,EM,NA
2023,4204301,federal,EM,NA
2023,4302501,municipal,EM,NA
2023,1400050,estadual,EF anos iniciais,NA
2023,1713304,estadual,EF anos iniciais,NA
2023,1718303,estadual,EF anos iniciais,NA
2023,1718501,estadual,EF anos iniciais,NA
2023,2102374,estadual,EF anos iniciais,NA
2023,2103802,estadual,EF anos iniciais,NA
2023,2108009,estadual,EF anos iniciais,NA
2023,2202109,estadual,EF anos iniciais,NA
