ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1101559,municipal,EF anos finais,17.666666666666668,100,4.3,2.933333333333333,NA
2023,1101559,municipal,EM,NA,4.3,27.8,0,20.366666666666667
2023,1101609,estadual,EF anos iniciais,12,100,4.3,60,NA
2023,1101609,estadual,EF anos finais,17,100,4.3,5,NA
2023,1101609,estadual,EM,NA,4.3,0,18.7,NA
2023,1101609,municipal,EF anos iniciais,NA,100,4.3,27.7,0
2023,1101609,municipal,EF anos finais,13,100,4.3,2.1,37.5
2023,1101609,municipal,EM,NA,4.3,55.7,28.1,20.833333333333332
2023,1101708,estadual,EF anos iniciais,NA,NA,4.3,66.7,0
2023,1101708,estadual,EF anos finais,NA,100,4.3,13.3,55
2023,1101708,estadual,EM,NA,4.3,50,0,NA
2023,1101708,municipal,EF anos iniciais,21,92,4.3,30.966666666666665,NA
2023,1101708,municipal,EF anos finais,23.3,95.63333333333334,4.333333333333333,4.233333333333333,NA
2023,1101708,municipal,EM,NA,4.233333333333333,55.13333333333333,9,21.266666666666666
2023,1101757,estadual,EF anos iniciais,NA,NA,4.2,31.3,NA
2023,1101757,estadual,EF anos finais,NA,93.8,4.1,31.3,NA
2023,1101757,estadual,EM,NA,4.1,0,31.1,NA
2023,1101757,municipal,EF anos iniciais,20.066666666666666,100,NA,12.9,0
2023,1101757,municipal,EF anos finais,16.666666666666668,100,NA,0,50
2023,1101757,municipal,EM,NA,4.2,0,0,15.066666666666666
2023,1101807,estadual,EF anos iniciais,NA,NA,4.3,64.3,NA
2023,1101807,estadual,EF anos finais,NA,100,4.3,21.4,NA
2023,1101807,estadual,EM,NA,4.3,0,0,NA
2023,1101807,municipal,EF anos iniciais,16.433333333333334,96.5,4.3,21.333333333333332,NA
2023,1101807,municipal,EF anos finais,19.333333333333332,100,4.3,4.8,NA
2023,1101807,municipal,EM,NA,4.3,41.666666666666664,5.566666666666666,17.566666666666666
2023,1200013,estadual,EF anos iniciais,NA,NA,5.3,26,0
2023,1200013,estadual,EF anos finais,NA,93.83333333333334,5.3,0,41.06666666666667
2023,1200013,estadual,EM,NA,5.3,0,63.7,NA
2023,1200013,municipal,EF anos iniciais,23.96666666666667,85.66666666666667,5.6,19.2,0
2023,1200013,municipal,EF anos finais,25.5,100,5.9,0,96.36666666666666
2023,1200013,municipal,EM,NA,5.7,0,0,14.633333333333333
2023,1200054,estadual,EF anos iniciais,NA,NA,4.3,16.966666666666665,0
2023,1200054,estadual,EF anos finais,NA,49,4.3,1.8333333333333333,100
2023,1200054,estadual,EM,NA,4.333333333333333,6.566666666666666,36.8,8
2023,1200054,municipal,EF anos iniciais,22.8,100,NA,9.133333333333333,NA
2023,1200054,municipal,EF anos finais,23,39.4,NA,2,NA
2023,1200054,municipal,EM,NA,NA,0,6.1,14.566666666666666
2023,1200104,estadual,EF anos iniciais,30.3,100,4.366666666666667,26.9,0
2023,1200104,estadual,EF anos finais,28.8,77.4,4.433333333333334,2.9333333333333336,29.366666666666667
2023,1200104,estadual,EM,NA,4.366666666666667,12.233333333333333,43.53333333333333,NA
2023,1200104,municipal,EF anos iniciais,24.733333333333334,94.6,NA,18.433333333333334,NA
2023,1200104,municipal,EF anos finais,22.366666666666667,22.2,NA,1.1333333333333333,NA
2023,1200104,municipal,EM,NA,NA,0,3.8,19.46666666666667
2023,1200138,estadual,EF anos iniciais,15,94.4,4.733333333333333,31.766666666666666,0
2023,1200138,estadual,EF anos finais,13.8,89.63333333333334,4.6,0.7666666666666667,53.266666666666666
2023,1200138,estadual,EM,NA,4.7,34.3,36.6,NA
2023,1200138,municipal,EF anos iniciais,23.166666666666668,81.7,5.1,14.566666666666666,NA
2023,1200138,municipal,EF anos finais,21.966666666666665,73.3,5.1,2.1,NA
2023,1200138,municipal,EM,NA,5.1,7.2,13.3,18.4
